Timestamp,Compiler,Version,Optimization,Architecture,Additional Flags,CPU Model,Virtualization,Virtualization Type,SHA,File Size (bytes),Stripped Size (bytes),Stdlib,Time (ms),RAM Usage (KB),Cycles,Cache References,Cache Misses,Cache Miss Ratio,Instructions,Instructions Per Cycle,Branches,Branch Misses,Branch Miss Ratio
2024-05-21 22:42:45,g++,g++ (GCC) 13.2.1 20240417,-O0,,"-std=c++23 -DSERIAL -ltbb","AMD Ryzen 5 2600 Six-Core Processor","full","VMware","7079af1a0f511f50206dc9627910ca108280e98c39d75c465903533b54977fbe",361352,191232,libstdc++,768495,590028,2913273557224,663631719,13347391,2.01%,5303820877562,1.82,646997341224,3772023716,0.58%
2024-05-21 23:08:14,g++,g++ (GCC) 13.2.1 20240417,-O0,-march=native,"-std=c++23 -DSERIAL -ltbb","AMD Ryzen 5 2600 Six-Core Processor","full","VMware","7079af1a0f511f50206dc9627910ca108280e98c39d75c465903533b54977fbe",361352,191232,libstdc++,763894,589976,2908274065183,648078740,12463224,1.92%,5303820871127,1.82,646997334732,3776610149,0.58%
2024-05-21 23:13:07,g++,g++ (GCC) 13.2.1 20240417,-O1,,"-std=c++23 -DSERIAL -ltbb","AMD Ryzen 5 2600 Six-Core Processor","full","VMware","7079af1a0f511f50206dc9627910ca108280e98c39d75c465903533b54977fbe",41288,35208,libstdc++,144408,589796,553154234260,519320225,7896990,1.52%,1546685581808,2.80,35653869645,31630989,0.09%
2024-05-21 23:18:01,g++,g++ (GCC) 13.2.1 20240417,-O1,-march=native,"-std=c++23 -DSERIAL -ltbb","AMD Ryzen 5 2600 Six-Core Processor","full","VMware","7079af1a0f511f50206dc9627910ca108280e98c39d75c465903533b54977fbe",41288,35208,libstdc++,145006,589884,554705655398,508768699,6943464,1.36%,1546685583279,2.79,35653870970,31653580,0.09%
2024-05-21 23:22:05,g++,g++ (GCC) 13.2.1 20240417,-O2,,"-std=c++23 -DSERIAL -ltbb","AMD Ryzen 5 2600 Six-Core Processor","full","VMware","7079af1a0f511f50206dc9627910ca108280e98c39d75c465903533b54977fbe",41288,35208,libstdc++,120297,589868,460333152342,506687515,6988635,1.38%,1368245774596,2.97,38505598814,31616429,0.08%
2024-05-21 23:26:09,g++,g++ (GCC) 13.2.1 20240417,-O2,-march=native,"-std=c++23 -DSERIAL -ltbb","AMD Ryzen 5 2600 Six-Core Processor","full","VMware","7079af1a0f511f50206dc9627910ca108280e98c39d75c465903533b54977fbe",41288,35208,libstdc++,120125,589948,459747198735,508365700,7627542,1.50%,1368720873731,2.98,38505598988,31621453,0.08%
2024-05-21 23:27:51,g++,g++ (GCC) 13.2.1 20240417,-O3,,"-std=c++23 -DSERIAL -ltbb","AMD Ryzen 5 2600 Six-Core Processor","full","VMware","7079af1a0f511f50206dc9627910ca108280e98c39d75c465903533b54977fbe",71784,67968,libstdc++,48698,589900,186290340445,506769926,8115941,1.60%,507749262661,2.73,7031079163,16394571,0.23%
2024-05-21 23:29:34,g++,g++ (GCC) 13.2.1 20240417,-O3,-march=native,"-std=c++23 -DSERIAL -ltbb","AMD Ryzen 5 2600 Six-Core Processor","full","VMware","7079af1a0f511f50206dc9627910ca108280e98c39d75c465903533b54977fbe",71784,67968,libstdc++,48913,589828,189259769239,506579909,8594049,1.70%,507740918337,2.68,7031080376,132784569,1.89%
2024-05-21 23:45:01,g++,g++ (GCC) 13.2.1 20240417,-Os,,"-std=c++23 -DSERIAL -ltbb","AMD Ryzen 5 2600 Six-Core Processor","full","VMware","7079af1a0f511f50206dc9627910ca108280e98c39d75c465903533b54977fbe",36624,26936,libstdc++,460883,589828,1768531170936,547057262,9238408,1.69%,925786936532,0.52,73143496457,33462295,0.05%
2024-05-22 00:00:30,g++,g++ (GCC) 13.2.1 20240417,-Os,-march=native,"-std=c++23 -DSERIAL -ltbb","AMD Ryzen 5 2600 Six-Core Processor","full","VMware","7079af1a0f511f50206dc9627910ca108280e98c39d75c465903533b54977fbe",36624,26936,libstdc++,461427,589916,1768615416924,542720074,8854834,1.63%,925786936709,0.52,73143496937,34057808,0.05%
